treatment,outcome,learner,confounder,importance_outcome,importance_treatment,coef_outcome,se_outcome,pval_outcome,coef_treatment,se_treatment,pval_treatment
T5_topical_comp,pre_rank,lgbm,conf_title_kw_sim,38.0,139.0,3.552713678800501e-15,1.7033339410141052e-15,0.037765258413802405,0.02944017986984816,0.009694102603637306,0.002579368396762316
T5_topical_comp,pre_rank,lgbm,conf_snippet_kw_sim,36.0,169.0,1.4903763330407085e-14,1.4208738888595034e-15,0.0,0.02536153717240944,0.00808655128261729,0.001864173958758375
T5_topical_comp,pre_rank,lgbm,conf_title_len,40.0,114.0,-3.2612132451934462e-15,1.3347081041253727e-15,0.01507037183412785,-0.0023869736406026917,0.007596160092714576,0.753540500512512
T5_topical_comp,pre_rank,lgbm,conf_snippet_len,33.0,119.0,-5.880657183330966e-16,1.3292534428782995e-15,0.6584856734020184,0.007998357431834236,0.007565116241286516,0.29115784681952683
T5_topical_comp,pre_rank,lgbm,conf_brand_recog,5.0,10.0,-1.7624347314081077e-15,1.8020333863896826e-15,0.32877378955471226,-0.003123397908267728,0.01025582601403521,0.7609007495276094
T5_topical_comp,pre_rank,lgbm,conf_title_has_kw,0.0,0.0,-7.573077166672423e-15,1.561925560246516e-15,1.91400631255334e-06,-0.0049868106131863675,0.008889311881649415,0.5751831155014118
T5_topical_comp,pre_rank,lgbm,conf_word_count,31.0,118.0,8.302132743064279e-16,1.5912733306823892e-15,0.6022069829764298,0.0331726131795935,0.009056337437204286,0.00029010634641335464
T5_topical_comp,pre_rank,lgbm,conf_readability,54.0,144.0,-1.3679670905458659e-15,1.3063950481723507e-15,0.29580077149194395,-0.006865586451043494,0.007435023357972057,0.3564633870067053
T5_topical_comp,pre_rank,lgbm,conf_internal_links,16.0,106.0,-4.526657549060739e-15,1.5930058577364567e-15,0.00476646395496183,-0.0074007830061590995,0.00906619768516935,0.414910991857506
T5_topical_comp,pre_rank,lgbm,conf_outbound_links,31.0,102.0,3.3874572998712478e-15,1.4679545129206458e-15,0.021635752686959275,-0.011199635573393346,0.008354498975845469,0.1809827020301371
T5_topical_comp,pre_rank,lgbm,conf_images_alt,128.0,126.0,-4.214206654456061e-15,1.404819633965918e-15,0.002905642205482506,-0.01681967252509709,0.007995182473239429,0.036154221009345955
