treatment,treatment_col,label,outcome,method,learner,n_obs,coef,se,t_stat,p_val,ci_lower,ci_upper,significance,ols_coef,ols_se,ols_pval
T4a_ext_citations,treat_ext_citations_any,T4a External Citations (binary),rank_delta,plr,rf,416,-0.19002715584360652,0.43458678826426345,-0.4372593943837401,0.6619232398854877,-1.041801608998497,0.661747297311284,,0.32164487674244735,0.3399627511595174,0.34466244834984794
T4b_auth_citations,treat_auth_citations,T4b Authority Citations (count),rank_delta,plr,lgbm,416,0.3924286006544709,0.18865915872369243,2.080093027602314,0.0375170010034314,0.02266344420240818,0.7621937571065336,**,0.20363419959091938,0.2353107341163343,0.38734925076039217
T4b_auth_citations,treat_auth_citations,T4b Authority Citations (count),rank_delta,plr,rf,416,0.032817696850957805,0.15377193794384558,0.21341798308441795,0.8310009551238327,-0.2685697633519077,0.3342051570538233,,0.20363419959091938,0.2353107341163343,0.38734925076039217
T5_topical_comp,treat_topical_comp,T5 Topical Competence (cosine),rank_delta,plr,lgbm,411,0.4265574108203274,0.7274379926303702,0.5863831902399302,0.557618037963286,-0.9991948557213115,1.8523096773619663,,0.43985244402087703,0.765065130978858,0.5656733186423164
T5_topical_comp,treat_topical_comp,T5 Topical Competence (cosine),rank_delta,plr,rf,411,0.004395594268354941,0.7724527965345396,0.005690437380866412,0.9954597123728387,-1.509584066696589,1.5183752552332987,,0.43985244402087703,0.765065130978858,0.5656733186423164
T6_freshness,treat_freshness,T6 Freshness (ordinal 0-4),rank_delta,plr,lgbm,416,-0.031829060280405747,0.05344861938500176,-0.5955076229590565,0.5515042051219305,-0.1365864292983986,0.07292830873758709,,-0.0921390680021092,0.05686037873428821,0.10592889049784615
T6_freshness,treat_freshness,T6 Freshness (ordinal 0-4),rank_delta,plr,rf,416,-0.08041108832920126,0.057205814977538086,-1.4056453589687472,0.15982945980318464,-0.1925324253914379,0.03171024873303539,,-0.0921390680021092,0.05686037873428821,0.10592889049784615
T7_source_earned,treat_source_earned,T7 Source: Earned,rank_delta,plr,lgbm,446,-1.1750120022488488,0.8150691046755117,-1.4416102825006898,0.1494123460462462,-2.7725180923241592,0.4224940878264616,,-1.892781201837942,0.6285205599816245,0.0027537489296902695
T7_source_earned,treat_source_earned,T7 Source: Earned,rank_delta,plr,rf,446,-1.3588521001793805,0.8720047582726695,-1.5583081253720377,0.11916022374249743,-3.0679500207413684,0.35024582038260754,,-1.892781201837942,0.6285205599816245,0.0027537489296902695
T1a_stats_present,treat_stats_present,T1a Stats Present (binary),pre_rank,plr,lgbm,416,0.006779591533620231,0.03416530384382147,0.19843498435171292,0.8427047480666009,-0.06018317352113772,0.07374235658837819,,5.4288811353472745e-15,1.4656429445246923e-15,0.00024211893350911673
T1a_stats_present,treat_stats_present,T1a Stats Present (binary),pre_rank,plr,rf,416,0.006649422319474671,0.005520980238401501,1.204391617492891,0.2284382504256286,-0.004171500107149631,0.017470344746098973,,5.4288811353472745e-15,1.4656429445246923e-15,0.00024211893350911673
